epoch,accuracy,learning_rate,loss,top2_acc,val_accuracy,val_loss,val_top2_acc
0,0.8803858757019043,9.999999747378752e-06,1.9950917959213257,1.0,0.9588689208030701,1.5819473266601562,1.0
1,0.9234726428985596,9.999999747378752e-06,1.893017053604126,1.0,0.9588689208030701,1.58669912815094,1.0
2,0.9234726428985596,9.999999747378752e-06,1.8731237649917603,1.0,0.9588689208030701,1.5884242057800293,1.0
3,0.9344051480293274,9.999999747378752e-06,1.8602029085159302,1.0,0.9717223644256592,1.5807867050170898,1.0
4,0.9472668766975403,9.999999747378752e-06,1.8240126371383667,1.0,0.9717223644256592,1.5821378231048584,1.0
5,0.9549839496612549,9.999999747378752e-06,1.8083994388580322,1.0,0.9640102982521057,1.57729971408844,1.0
6,0.9485530257225037,9.999999747378752e-06,1.8111385107040405,1.0,0.9614396095275879,1.5780115127563477,1.0
7,0.9639871120452881,9.999999747378752e-06,1.7857420444488525,1.0,0.9640102982521057,1.565801739692688,1.0
8,0.953054666519165,9.999999747378752e-06,1.7856727838516235,1.0,0.9717223644256592,1.54437255859375,1.0
9,0.9562700986862183,9.999999747378752e-06,1.7770177125930786,1.0,0.9768637418746948,1.5398473739624023,1.0
10,0.9659163951873779,9.999999747378752e-06,1.7566733360290527,1.0,0.974293053150177,1.5373862981796265,1.0
11,0.962057888507843,9.999999747378752e-06,1.7661170959472656,1.0,0.974293053150177,1.531683087348938,1.0
12,0.9581993818283081,9.999999747378752e-06,1.7585997581481934,1.0,0.9665809869766235,1.5310673713684082,1.0
13,0.9672025442123413,9.999999747378752e-06,1.7367054224014282,1.0,0.9614396095275879,1.5382159948349,1.0
14,0.9697749018669128,9.999999747378752e-06,1.7336256504058838,1.0,0.9665809869766235,1.5281051397323608,1.0
15,0.9697749018669128,9.999999747378752e-06,1.7229419946670532,1.0,0.9691516757011414,1.515329360961914,1.0
16,0.9736334681510925,9.999999747378752e-06,1.70732843875885,1.0,0.9640102982521057,1.5124859809875488,1.0
17,0.9813504815101624,9.999999747378752e-06,1.6882256269454956,1.0,0.9588689208030701,1.5101739168167114,1.0
18,0.9755626916885376,9.999999747378752e-06,1.7034666538238525,1.0,0.9511567950248718,1.504111647605896,1.0
19,0.9813504815101624,9.999999747378752e-06,1.678279161453247,1.0,0.9511567950248718,1.5001285076141357,1.0
20,0.9755626916885376,9.999999747378752e-06,1.6757107973098755,1.0,0.9614396095275879,1.4868907928466797,1.0
21,0.9723472595214844,9.999999747378752e-06,1.6753641366958618,1.0,0.9562981724739075,1.4856137037277222,1.0
22,0.9768489003181458,9.999999747378752e-06,1.6655709743499756,1.0,0.9511567950248718,1.488459825515747,1.0
23,0.980064332485199,9.999999747378752e-06,1.6559909582138062,1.0,0.9562981724739075,1.4822443723678589,1.0
24,0.980064332485199,9.999999747378752e-06,1.6451209783554077,1.0,0.9434447288513184,1.4808582067489624,1.0
